country,iso3,cells,model_km2_y,obs_km2_y,ratio,model_peak,obs_peak,phase_months
Afghanistan,AFG,93,4545.200378561892,525.0529905512062,8.656650776886904,Jun,Jul,1
Akrotiri Sovereign Base Area,WSB,2,0.0,0.24631736094287163,0.0,Jan,Nov,2
Aland,ALD,4,0.0,0.0011848778954090596,0.0,Jan,Jul,6
Albania,ALB,9,1169.475321382797,350.18949603998635,3.3395499711083865,Aug,Aug,0
Algeria,DZA,254,10612.114717088756,1876.0086873957055,5.656751372415339,Jul,Aug,1
American Samoa,ASM,4,0.0,0.009302009111222672,0.0,Jan,Feb,1
Andorra,AND,1,0.0,1.382422308185131,0.0,Jan,Mar,2
Angola,AGO,141,511955.5059141855,531693.3559875845,0.9628773806346758,Aug,Jul,1
Anguilla,AIA,2,0.0,0.0,inf,Jan,Jan,0
Antarctica,ATA,6565,0.0,0.0,inf,Jan,Jan,0
Antigua and Barbuda,ATG,3,0.0,0.0006385963683899333,0.0,Jan,Jun,5
Argentina,ARG,354,127958.59017647065,78759.18257772786,1.6246815417388014,Sep,Aug,1
Armenia,ARM,10,1592.5998042455758,567.2648471402683,2.8075066034398066,Aug,Aug,0
Aruba,ABW,2,0.0,0.00868116040094731,0.0,Jan,Apr,3
Ashmore and Cartier Islands,ATC,1,0.0,0.0,inf,Jan,Jan,0
Australia,AUS,822,209161.1863627934,542142.2335443852,0.3858050035972145,Oct,Oct,0
Austria,AUT,25,1570.7897799647867,79.28017023323419,19.813148424677735,Apr,Aug,4
Azerbaijan,AZE,23,4022.008451624851,2754.9778546849507,1.4599059098733822,Aug,Jul,1
Bahrain,BHR,2,0.0,0.0,inf,Jan,Jan,0
Bajo Nuevo Bank (Petrel Is.),BJN,1,0.0,0.0,inf,Jan,Jan,0
Bangladesh,BGD,27,22931.64852745296,6281.386671310085,3.6507302809731645,Mar,Mar,0
Barbados,BRB,1,0.0,0.8784005485564682,0.0,Jan,May,4
Baykonur Cosmodrome,KAB,4,62.5061959497001,126.75238851420201,0.49313623737115275,Jul,Apr,3
Belarus,BLR,44,8328.982681268628,3905.8438817464476,2.13244126837564,Apr,Apr,0
Belgium,BEL,11,559.8320624113253,53.17538817592865,10.528029632038477,Apr,Apr,0
Belize,BLZ,9,1227.5735887346643,1382.28319415733,0.8880767659792175,Apr,May,1
Benin,BEN,19,46242.935140907684,60557.47448597683,0.7636206023026284,Dec,Dec,0
Bermuda,BMU,1,0.0,0.0,inf,Jan,Jan,0
Bhutan,BTN,13,761.2917399586115,606.5220342077324,1.2551757347992254,Mar,Mar,0
Bir Tawil,BRT,2,0.0,0.0,inf,Jan,Jan,0
Bolivia,BOL,124,65615.29679587542,50311.016519822886,1.3041934219322033,Sep,Sep,0
Bosnia and Herzegovina,BIH,15,1274.9403982137255,701.8031348304789,1.8166638690231676,Apr,Mar,1
Botswana,BWA,71,9328.340292028199,30092.400792955093,0.3099898993174399,Sep,Sep,0
Brazil,BRA,818,875667.5831211269,363411.7338506825,2.4095743245343817,Sep,Sep,0
Brazilian Island,BRI,1,0.3964851992110138,0.09461500008262609,4.190511006339039,Aug,Aug,0
British Indian Ocean Territory,IOT,4,0.0,0.0,inf,Jan,Jan,0
British Virgin Islands,VGB,1,0.0,0.001328992935947735,0.0,Jan,Feb,1
Brunei,BRN,5,79.86085343135419,28.81829653775441,2.7711857752150513,Apr,Aug,4
Bulgaria,BGR,25,5779.1668082468705,5285.55565108577,1.0933886973755924,Aug,Aug,0
Burkina Faso,BFA,39,83312.7840856055,65833.4645515676,1.2655081219422424,Nov,Dec,1
Burundi,BDI,7,6602.52571519128,4349.641876514013,1.5179469718741128,Aug,Jul,1
Cabo Verde,CPV,10,0.0,0.0,inf,Jan,Jan,0
Cambodia,KHM,27,58138.44928956545,52986.595645273715,1.0972293762517138,Jan,Jan,0
Cameroon,CMR,62,160872.489845342,112511.74318212966,1.429828436529757,Jan,Dec,1
Canada,CAN,2270,55805.78314635559,36618.19117499822,1.5239907094170746,Apr,Jul,3
Cayman Islands,CYM,3,0.0,0.0008620677729645343,0.0,Jan,Apr,3
Central African Republic,CAF,73,343845.59941756167,353615.64943876595,0.9723709908294199,Jan,Jan,0
Chad,TCD,133,180100.96452653952,163799.04065867627,1.0995239276268605,Nov,Dec,1
Chile,CHL,159,1857.2696148671557,7141.0038464179315,0.260085228185222,Feb,Apr,2
China,CHN,1104,234611.77563075544,111738.35724585064,2.099652987689397,Apr,Apr,0
Clipperton Island,CLP,1,0.0,0.0,inf,Jan,Jan,0
Colombia,COL,136,77374.07675977355,33450.76921374272,2.3130731692706674,Feb,Feb,0
Comoros,COM,3,0.0,1.2878448958498339,0.0,Jan,Nov,2
Cook Islands,COK,12,0.0,0.0,inf,Jan,Jan,0
Coral Sea Islands,CSI,1,0.0,0.0,inf,Jan,Jan,0
Costa Rica,CRI,12,2914.4142143960044,1202.0094630080341,2.4246183612420733,Apr,Mar,1
Croatia,HRV,22,1157.3252304353755,740.2608634784272,1.5634018864609374,Aug,Mar,5
Cuba,CUB,32,9522.657142029695,5851.4446613819,1.6274027514738194,Mar,Mar,0
Curaçao,CUW,2,0.0,0.012441688169607544,0.0,Jan,Apr,3
Cyprus,CYP,6,0.0,11.435413604922593,0.0,Jan,Oct,3
Cyprus No Mans Area,CNM,4,0.0,1.3245996268778029,0.0,Jan,Oct,3
Czechia,CZE,21,4159.608830802464,148.2102593656484,28.06559308785989,Apr,Aug,4
Democratic Republic of the Congo,COD,238,715020.6842685961,707487.4595566445,1.0106478561707262,Jun,Jul,1
Denmark,DNK,22,47.12801535188851,93.92740037943038,0.5017493847536454,Apr,Aug,4
