"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.0182843","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","0.0171894","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Model Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.0171894","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Model Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","nan","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Spatial Distribution Score","MeanState","global","score","1","0.741205","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Phase Shift","MeanState","global","scalar","months","0.566991","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Seasonal Cycle Score","MeanState","global","score","1","0.794179","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Bias","MeanState","global","scalar","g m-2 d-1","-0.00109491","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Bias Score","MeanState","global","score","1","0.69186","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","RMSE","MeanState","global","scalar","g m-2 d-1","0.0395916","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","RMSE Score","MeanState","global","score","1","0.508801","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-continental-percont","Overall Score","MeanState","global","score","1","0.648969","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-Hybrid","Benchmark Period Mean (intersection)","MeanState","global","scalar","g m-2 d-1","0.071532","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-Hybrid","Benchmark Period Mean (complement)","MeanState","global","scalar","g m-2 d-1","3.34384e-06","80.0"
"EcosystemandCarbonCycle","FireCarbonEmissions","GFED5","ED-ModelC-Hybrid","Period Mean (original grids)","MeanState","global","scalar","g m-2 d-1","0.0716355","80.0"
