=== fitting Africa (TAG=africa) ===
[I 2026-06-10 19:19:47,590] A new study created in memory with name: no-name-fb54fd59-4718-4744-8f1a-27ebc4d37290
[I 2026-06-10 19:19:49,077] Trial 0 finished with values: [10.071288234251845, 10.071288234251845] and parameters: {'k1': 0.028401063201780267, 'D_low': 16.00237013173313, 'k2': 0.00033271381912662167, 'D_high': 2427.054417940131, 'fire_exp': 1.5191397119156032, 'P_half': 157.80309954142965, 'pre_dampen_half': 8.259599205585761, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 3.965503094323014, 'ign_c': 22.126836566118193, 'trop_agb_crit': 5.526463318565575, 'trop_k_veg': 2.724170387400844, 'fire_amp': 5.44779717154213}.
[I 2026-06-10 19:19:50,543] Trial 1 finished with values: [10.831421835379976, 10.831421835379976] and parameters: {'k1': 0.00031489116479568613, 'D_low': 6351.221010640702, 'k2': 0.008471801418819975, 'D_high': 2481.0409748678126, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999, 'trop_agb_crit': 16.967533607196547, 'trop_k_veg': 0.9008485225328876, 'fire_amp': 1.3851197621057665}.
[I 2026-06-10 19:19:52,237] Trial 2 finished with values: [10.829053682043261, 10.829053682043261] and parameters: {'k1': 5.415244119402538e-05, 'D_low': 16.480446427978972, 'k2': 0.0012561043700013551, 'D_high': 534.2937261279774, 'fire_exp': 1.9553708662745248, 'P_half': 280.163515871626, 'pre_dampen_half': 0.04982752357076448, 'gpp_af': 0.028888383623653185, 'gpp_b': 0.0015782327810795573, 'gpp_d': 1.9069966103000422, 'ign_k': 1.382623217936987, 'ign_c': 0.6290644294586147, 'trop_agb_crit': 5.748924681991978, 'trop_k_veg': 2.584093506411774, 'fire_amp': 1.0867895322868466}.
[I 2026-06-10 19:19:53,998] Trial 3 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.0026926469100861782, 'D_low': 4.809461967501573, 'k2': 1.8205657658407255e-05, 'D_high': 62451.395747430804, 'fire_exp': 9.23915031962725, 'P_half': 1712.3375973163984, 'pre_dampen_half': 0.3334792728637583, 'gpp_af': 0.0030786517836196197, 'gpp_b': 0.12746711578215045, 'gpp_d': 1.587678152692399, 'ign_k': 0.003077180271250686, 'ign_c': 9.565499215943817, 'trop_agb_crit': 1.1240768803005543, 'trop_k_veg': 6.221582596639011, 'fire_amp': 1.5899005744404588}.
[I 2026-06-10 19:19:55,417] Trial 4 finished with values: [10.830892162249205, 10.830892162249205] and parameters: {'k1': 0.004467752817973905, 'D_low': 17.65404805249507, 'k2': 0.0012030178871154666, 'D_high': 1537.592023548176, 'fire_exp': 1.5305744365500176, 'P_half': 7556.810141274427, 'pre_dampen_half': 75.10418138777538, 'gpp_af': 49.830438374949125, 'gpp_b': 2.3386439256208704, 'gpp_d': 9.761125443110442, 'ign_k': 4.869640941520899, 'ign_c': 0.22592797420156951, 'trop_agb_crit': 1.9475582306295418, 'trop_k_veg': 0.5667990147757791, 'fire_amp': 1.7912500010961188}.
[I 2026-06-10 19:19:56,800] Trial 5 finished with values: [10.80929043135383, 10.80929043135383] and parameters: {'k1': 0.00035868164986275477, 'D_low': 12.172958098369968, 'k2': 0.02065142557895925, 'D_high': 267.3088310781672, 'fire_exp': 1.9095652801045373, 'P_half': 148.17820606039086, 'pre_dampen_half': 0.050654860639753524, 'gpp_af': 10.25616274847308, 'gpp_b': 2.800940363375676e-05, 'gpp_d': 859.8737339212263, 'ign_k': 1.2273800987852967, 'ign_c': 0.6235377135673155, 'trop_agb_crit': 1.0189592979395135, 'trop_k_veg': 4.796046723963646, 'fire_amp': 3.548476438923424}.
[I 2026-06-10 19:19:58,188] Trial 6 finished with values: [10.828771542462654, 10.828771542462654] and parameters: {'k1': 0.00824192526487645, 'D_low': 1216.4139351417061, 'k2': 1.97778285124627e-05, 'D_high': 271.55819552829405, 'fire_exp': 1.305777134899723, 'P_half': 2834.090429514774, 'pre_dampen_half': 13.076473382928533, 'gpp_af': 0.04513257622008944, 'gpp_b': 2.4063018320720924e-05, 'gpp_d': 0.3588488911386258, 'ign_k': 0.01998634077852888, 'ign_c': 82.87522363768154, 'trop_agb_crit': 8.74479618932312, 'trop_k_veg': 5.85168037586392, 'fire_amp': 2.330529660087218}.
[I 2026-06-10 19:19:59,687] Trial 7 finished with values: [10.833259602849433, 10.833259602849433] and parameters: {'k1': 3.0086868214458443e-05, 'D_low': 712.8188058401365, 'k2': 0.011044350847124691, 'D_high': 1758.364027000852, 'fire_exp': 5.901564798023388, 'P_half': 94.44574254983563, 'pre_dampen_half': 4.108318894699926, 'gpp_af': 0.137310924682403, 'gpp_b': 1.420740499067604e-05, 'gpp_d': 0.034630370261191847, 'ign_k': 0.0013357240411974098, 'ign_c': 35.12704726270843, 'trop_agb_crit': 2.9130095015495914, 'trop_k_veg': 2.048095183109572, 'fire_amp': 5.0842159235079025}.
[I 2026-06-10 19:20:01,427] Trial 8 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 9.935023909063687e-05, 'D_low': 43.805807679056535, 'k2': 0.010524574681335632, 'D_high': 82.26074946221037, 'fire_exp': 1.1939328726535439, 'P_half': 14.421346497969488, 'pre_dampen_half': 0.06398916399944082, 'gpp_af': 44.51314315649209, 'gpp_b': 0.7058660227368639, 'gpp_d': 14.689898077648792, 'ign_k': 3.06085221067225, 'ign_c': 163.94127471631597, 'trop_agb_crit': 1.8861950443028859, 'trop_k_veg': 5.9390657068063915, 'fire_amp': 2.6283902041435616}.
[I 2026-06-10 19:20:03,013] Trial 9 finished with values: [10.768953308423516, 10.768953308423516] and parameters: {'k1': 0.016973078532467004, 'D_low': 3840.3004190988563, 'k2': 0.0001870742013766025, 'D_high': 27.55546207779663, 'fire_exp': 1.6901885781909627, 'P_half': 51.10120656497163, 'pre_dampen_half': 123.04779330083686, 'gpp_af': 20.12115544906385, 'gpp_b': 1.1008110571039521e-05, 'gpp_d': 3.57879245350232, 'ign_k': 0.0467351899956275, 'ign_c': 0.773448215664679, 'trop_agb_crit': 1.5033346993841157, 'trop_k_veg': 1.2749676887479542, 'fire_amp': 5.416595007374148}.
[I 2026-06-10 19:20:04,503] Trial 10 finished with values: [10.83333333328067, 10.83333333328067] and parameters: {'k1': 0.00019625093208439862, 'D_low': 118.89469769530467, 'k2': 0.006487477066058677, 'D_high': 284.78585168562967, 'fire_exp': 9.370916815598129, 'P_half': 7076.022085822009, 'pre_dampen_half': 0.18151456496577564, 'gpp_af': 0.3063673848555845, 'gpp_b': 0.0006386602091836768, 'gpp_d': 0.2655843450849988, 'ign_k': 0.0014045842344024703, 'ign_c': 27.431991397796672, 'trop_agb_crit': 5.527361503993262, 'trop_k_veg': 0.5767088252796749, 'fire_amp': 1.6475139271479562}.
