[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] warm-start from params.spatial.k1.json
[warm] Overall=0.3989  bias=0.5816 rmse=0.3647 seas=0.6545 spatial=0.0294
[opt] sampler=NSGAIISampler seed=42
[I 2026-07-22 20:35:38,271] A new study created in memory with name: no-name-09828b6d-0763-4b9e-b80a-0568282818b7
[opt] running 2500 trials against GFED5 ...
[I 2026-07-22 20:35:38,690] Trial 0 finished with values: [10.658237866773707, 10.658237866773707] and parameters: {'k1': 0.028401063201780267, 'D_low': 16.00237013173313, 'k2': 0.00033271381912662167, 'D_high': 2427.054417940131, 'fire_exp': 1.5191397119156032, 'P_half': 157.80309954142965, 'pre_dampen_half': 8.259599205585761, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 3.965503094323014, 'ign_c': 22.126836566118193, 'trop_agb_crit': 5.526463318565575, 'trop_k_veg': 2.724170387400844, 'fuel_k': 0.10978148458640455, 'fuel_half': 71.14476009343416}.
[I 2026-07-22 20:35:39,099] Trial 1 finished with values: [10.672628759163516, 10.672628759163516] and parameters: {'k1': 0.008471801418819975, 'D_low': 3907.96715682288, 'k2': 4.207988669606632e-05, 'D_high': 86.2913219007186, 'fire_exp': 1.0546632013184414, 'P_half': 2915.443189153754, 'pre_dampen_half': 10.129197956845726, 'gpp_af': 3.470266988650414, 'gpp_b': 1.3289448722869181e-05, 'gpp_d': 707.2114131472224, 'ign_k': 2.136832907235876, 'ign_c': 0.7068974950624601, 'trop_agb_crit': 1.8559980846490576, 'trop_k_veg': 0.83140195149031, 'fuel_k': 0.07002142869039267, 'fuel_half': 3.75205585512428}.
[I 2026-07-22 20:35:39,521] Trial 2 finished with values: [10.732334219864127, 10.732334219864127] and parameters: {'k1': 0.0005342937261279771, 'D_low': 55.895242052179206, 'k2': 0.0028016351587162596, 'D_high': 68.70101665590026, 'fire_exp': 1.306941185248186, 'P_half': 29.204338471814108, 'pre_dampen_half': 1.9069966103000422, 'gpp_af': 8.431013932082463, 'gpp_b': 0.00015777663630582464, 'gpp_d': 3.725393839578884, 'ign_k': 0.23423849847112918, 'ign_c': 0.15339162591163621, 'trop_agb_crit': 7.896186801026689, 'trop_k_veg': 0.8022348220849581, 'fuel_k': 0.01516083650740451, 'fuel_half': 70.25166339242158}.
[I 2026-07-22 20:35:39,930] Trial 3 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.07286653737491042, 'D_low': 70857.21663941599, 'k2': 0.00016536937182824412, 'D_high': 38.550736900261796, 'fire_exp': 1.8719045352638064, 'P_half': 57.62487216478601, 'pre_dampen_half': 0.0407559644007287, 'gpp_af': 0.2991469302130216, 'gpp_b': 1.6081669283634658e-05, 'gpp_d': 352.0481045526035, 'ign_k': 0.010842262717330166, 'ign_c': 44.67752817973901, 'trop_agb_crit': 2.8869220380495735, 'trop_k_veg': 2.1144348148283285, 'fuel_k': 0.3302507755382605, 'fuel_half': 0.35856126103453967}.
[I 2026-07-22 20:35:40,344] Trial 4 finished with values: [10.76757763322978, 10.76757763322978] and parameters: {'k1': 0.0755681014127443, 'D_low': 44750.401913509006, 'k2': 0.057279044707996225, 'D_high': 2338643.9256208735, 'fire_exp': 1.7295308887606116, 'P_half': 4869.640941520898, 'pre_dampen_half': 0.027698899227562815, 'gpp_af': 0.009548041810464166, 'gpp_b': 1.867943489455631e-05, 'gpp_d': 0.4233032996527595, 'ign_k': 0.03586816498627549, 'ign_c': 1.2172958098369964, 'trop_agb_crit': 16.755052359850303, 'trop_k_veg': 1.34444739467741, 'fuel_k': 0.060322392669638326, 'fuel_half': 4.247058562261869}.
[I 2026-07-22 20:35:40,758] Trial 5 finished with values: [10.746809498809853, 10.746809498809853] and parameters: {'k1': 3.661819220392426e-05, 'D_low': 65040.20246676568, 'k2': 1.9870215385428627e-05, 'D_high': 8342988.0130473375, 'fire_exp': 2.0291170036317387, 'P_half': 6.235377135673156, 'pre_dampen_half': 0.010656401760606449, 'gpp_af': 11.948328168545443, 'gpp_b': 0.17423847570785791, 'gpp_d': 44.160688951185854, 'ign_k': 1.2164139351417067, 'ign_c': 0.1977782851246272, 'trop_agb_crit': 3.384522041201139, 'trop_k_veg': 0.6894301219471972, 'fuel_k': 2.4993775341055966, 'fuel_half': 7.41129978108324}.
[I 2026-07-22 20:35:41,171] Trial 6 finished with values: [10.64838208641727, 10.64838208641727] and parameters: {'k1': 0.00021066486017042195, 'D_low': 2.4063018320720926, 'k2': 0.00017535949529764417, 'D_high': 893.5110590331861, 'fire_exp': 1.951369393384915, 'P_half': 355.00125258511594, 'pre_dampen_half': 272.9378165037472, 'gpp_af': 0.22965432344634348, 'gpp_b': 5.2187377767382e-05, 'gpp_d': 36.831884165358964, 'ign_k': 1.104435084712469, 'ign_c': 17.583640270008498, 'trop_agb_crit': 13.766134492174427, 'trop_k_veg': 1.9658897090912955, 'fuel_k': 0.28328975157735103, 'fuel_half': 1.9170041589170657}.
[I 2026-07-22 20:35:41,584] Trial 7 finished with values: [10.214043851488686, 10.214043851488686] and parameters: {'k1': 1.263794633808287e-05, 'D_low': 4.439648242927527, 'k2': 1.3357240411974104e-05, 'D_high': 65835.85310972678, 'fire_exp': 1.3338126188125452, 'P_half': 108.21382910613987, 'pre_dampen_half': 345.01054536130147, 'gpp_af': 0.017638479543546873, 'gpp_b': 0.0028993292583566945, 'gpp_d': 59.945376567988106, 'ign_k': 0.008226074946221037, 'ign_c': 0.2031980983842498, 'trop_agb_crit': 2.679156169946616, 'trop_k_veg': 0.7818074020304813, 'fuel_k': 3.826843441487285, 'fuel_half': 26.56813924114493}.
[I 2026-07-22 20:35:42,036] Trial 8 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.0034167643418329683, 'D_low': 169341.55410667966, 'k2': 0.016394127471631596, 'D_high': 131.64984536291755, 'fire_exp': 2.265608866329626, 'P_half': 143.67095138664226, 'pre_dampen_half': 108.94336258132203, 'gpp_af': 30.231277487962988, 'gpp_b': 0.000809134743599756, 'gpp_d': 0.03550255612313078, 'ign_k': 0.008160948743089924, 'ign_c': 5.11012065649716, 'trop_agb_crit': 16.155001304356414, 'trop_k_veg': 5.437420238162097, 'fuel_k': 0.010454760061291155, 'fuel_half': 3.405978543532996}.
[I 2026-07-22 20:35:42,465] Trial 9 finished with values: [10.625586107330221, 10.625586107330221] and parameters: {'k1': 0.0004673518999562748, 'D_low': 21.510319582575757, 'k2': 3.0162092627967762e-05, 'D_high': 1060.9405001897937, 'fire_exp': 2.3725834451092904, 'P_half': 19.625093208439857, 'pre_dampen_half': 3.926025433552807, 'gpp_af': 3.274121520988884, 'gpp_b': 0.0015197691143574409, 'gpp_d': 722.6207258080483, 'ign_k': 7.076022085822006, 'ign_c': 1.0165510266418727, 'trop_agb_crit': 5.426206745606971, 'trop_k_veg': 1.1514990646668624, 'fuel_k': 0.0618486145535729, 'fuel_half': 0.12902113024567152}.
[I 2026-07-22 20:35:42,878] Trial 10 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.0027431991397796683, 'D_low': 1037.7055497115118, 'k2': 1.6066267921727703e-05, 'D_high': 469.76297622476886, 'fire_exp': 2.298451449583582, 'P_half': 9.083381663660585, 'pre_dampen_half': 0.053024228766843526, 'gpp_af': 0.28006820077310246, 'gpp_b': 8.201678186795007, 'gpp_d': 0.16228424432188981, 'ign_k': 0.4881375191603672, 'ign_c': 111.29571947045997, 'trop_agb_crit': 2.243982507529704, 'trop_k_veg': 3.7655625092973994, 'fuel_k': 0.10513738477836053, 'fuel_half': 7.887102624766476}.
