########## REGION=Africa TAG=coupledE_af ##########
[setup] COUPLING-READY: climate (D_bar/T_air/P_*) + GPP all from global_baseline_modelC_inputs_1997-2016.nc ...
[setup] loading GFED5 reference from burntArea.nc ...
[setup] land cells (GFED5 burnable): 13916 / 64800 (21.5%)
[setup] GFED5 land-mean monthly frac: 0.005068
[opt] REGION=Africa: fitting 1816 land cells only
[opt] warm-start from params.coupledE_fx.json
[warm] Overall=0.6071  bias=0.6953 rmse=0.3646 seas=0.8005 spatial=0.8107
[opt] sampler=NSGAIISampler seed=42
[I 2026-07-22 21:40:53,486] A new study created in memory with name: no-name-45cb251d-9fcd-41df-8224-8fbb265eab7f
[opt] running 1500 trials against GFED5 ...
[I 2026-07-22 21:40:53,914] Trial 0 finished with values: [-0.7827842128671596, 0.49444438612623776] and parameters: {'k1': 0.0008685306488754917, 'D_low': 2240.9155921647994, 'k2': 0.0010532624798722347, 'D_high': 6525529.853354094, 'fire_exp': 1.2585476857229763, 'P_half': 355.00125258511594, 'pre_dampen_half': 16.224010950061366, 'gpp_af': 0.03522602097143089, 'gpp_b': 0.00012118589392553798, 'gpp_d': 12.338826503601998, 'ign_k': 2.136832907235876, 'ign_c': 22.126836566118193, 'trop_agb_crit': 26.951029433343408, 'trop_k_veg': 2.724170387400844, 'fuel_k': 0.6149834196910364, 'fuel_half': 0.6603566884894324}.
[I 2026-07-22 21:40:54,346] Trial 1 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.00031489116479568613, 'D_low': 506157.68887523044, 'k2': 0.008471801418819975, 'D_high': 39079.671568228776, 'fire_exp': 1.1536818470031638, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774107, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650409, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347992, 'trop_agb_crit': 16.967533607196547, 'trop_k_veg': 0.9008485225328876, 'fuel_k': 0.03199906289308566, 'fuel_half': 0.35498788321965025}.
[I 2026-07-22 21:40:54,799] Trial 2 finished with values: [10.768463020921867, 10.768463020921867] and parameters: {'k1': 0.00016480446427978953, 'D_low': 1407.7923139972395, 'k2': 0.0005342937261279771, 'D_high': 558.9524205217922, 'fire_exp': 1.751784769842796, 'P_half': 3.6138942712165267, 'pre_dampen_half': 0.2888838362365318, 'gpp_af': 0.06789053271698488, 'gpp_b': 0.0054502936945582505, 'gpp_d': 84.31013932082456, 'ign_k': 0.006290644294586149, 'ign_c': 11.40086370112731, 'trop_agb_crit': 7.500118950416987, 'trop_k_veg': 0.5687244174086067, 'fuel_k': 0.48736180483849406, 'fuel_half': 0.32476735706274484}.
[I 2026-07-22 21:40:55,238] Trial 3 finished with values: [10.763650435797166, 10.763650435797166] and parameters: {'k1': 1.8205657658407255e-05, 'D_low': 493529.62094020995, 'k2': 0.07286653737491042, 'D_high': 708572.1663941594, 'fire_exp': 1.3219590610242518, 'P_half': 2.458603276328005, 'pre_dampen_half': 26.373339933815235, 'gpp_af': 0.15876781526923997, 'gpp_b': 5.397956855996442e-05, 'gpp_d': 2.9914693021302137, 'ign_k': 0.0013726318898045872, 'ign_c': 433.79206974909323, 'trop_agb_crit': 2.411289811529197, 'trop_k_veg': 3.1385303007850824, 'fuel_k': 0.0734480915638841, 'fuel_half': 3.632486956676605}.
[I 2026-07-22 21:40:55,659] Trial 4 finished with values: [10.769020849687884, 10.769020849687884] and parameters: {'k1': 0.0015375920235481753, 'D_low': 12.856617791467924, 'k2': 0.0755681014127443, 'D_high': 447504.0191350906, 'fire_exp': 2.3651801035395126, 'P_half': 3795.8531426706395, 'pre_dampen_half': 9.761125443110448, 'gpp_af': 40.67908494359547, 'gpp_b': 3.395900933162749e-05, 'gpp_d': 0.09548041810464164, 'ign_k': 0.0015167330688076208, 'ign_c': 2.0013420622879967, 'trop_agb_crit': 3.7507963596256046, 'trop_k_veg': 1.0609790190334525, 'fuel_k': 2.006125726290936, 'fuel_half': 1.1756010900231848}.
[I 2026-07-22 21:40:56,072] Trial 5 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 0.000132965214572995, 'D_low': 1803.7506431281838, 'k2': 3.661819220392426e-05, 'D_high': 650402.0246676564, 'fire_exp': 1.0706972415344522, 'P_half': 8862.32650857625, 'pre_dampen_half': 72.64803074826723, 'gpp_af': 0.009853225172032555, 'gpp_b': 1.0792764548678445e-05, 'gpp_d': 119.48328168545423, 'ign_k': 0.6720930050156115, 'ign_c': 82.41925264876441, 'trop_agb_crit': 13.780336485751999, 'trop_k_veg': 0.6139438440498544, 'fuel_k': 0.09905399864531553, 'fuel_half': 0.22264204303769677}.
[I 2026-07-22 21:40:56,483] Trial 6 finished with values: [10.767962330938582, 10.767962330938582] and parameters: {'k1': 0.028340904295147747, 'D_low': 5492.736444508447, 'k2': 0.00021066486017042195, 'D_high': 24.063018320720932, 'fire_exp': 1.3296958331046895, 'P_half': 19.986340778528874, 'pre_dampen_half': 44.466289554754454, 'gpp_af': 1.540945776288155, 'gpp_b': 2.1051180519608694, 'gpp_d': 2.2965432344634333, 'ign_k': 0.003008686821445843, 'ign_c': 71.28188058401358, 'trop_agb_crit': 13.297554090738672, 'trop_k_veg': 2.3703642788018935, 'fuel_k': 1.3863198285285168, 'fuel_half': 3.0296104428212485}.
[I 2026-07-22 21:40:56,901] Trial 7 finished with values: [10.769195256116113, 10.769195256116113] and parameters: {'k1': 0.0012329098365270509, 'D_low': 367.4904945305323, 'k2': 1.263794633808287e-05, 'D_high': 44.39648242927527, 'fire_exp': 1.0292169511970342, 'P_half': 351.2704726270846, 'pre_dampen_half': 0.37306104754535907, 'gpp_af': 0.349022524783825, 'gpp_b': 2.7886810374231183, 'gpp_d': 0.17638479543546873, 'ign_k': 0.04380580767905655, 'ign_c': 105.24574681335622, 'trop_agb_crit': 2.1775224101934065, 'trop_k_veg': 0.6189606672462583, 'fuel_k': 0.06382243375381637, 'fuel_half': 0.30455368715396786}.
[I 2026-07-22 21:40:57,307] Trial 8 finished with values: [10.76714700709263, 10.76714700709263] and parameters: {'k1': 0.052334804885400876, 'D_low': 70586.60227368641, 'k2': 0.0034167643418329683, 'D_high': 1693415.5410667954, 'fire_exp': 2.088398022232781, 'P_half': 5.575453980775371, 'pre_dampen_half': 290.26521418263894, 'gpp_af': 0.49740621749684094, 'gpp_b': 0.6992636148959314, 'gpp_d': 302.3127748796295, 'ign_k': 0.018707420137660268, 'ign_c': 0.2755546207779662, 'trop_agb_crit': 2.171140223187998, 'trop_k_veg': 1.6340262437673856, 'fuel_k': 1.8731335591844647, 'fuel_half': 38.21129441691226}.
[I 2026-07-22 21:40:57,723] Trial 9 finished with values: [10.769230769178105, 10.769230769178105] and parameters: {'k1': 1.0661259689433896e-05, 'D_low': 1160.0689839007139, 'k2': 0.0004673518999562748, 'D_high': 215.10319582575772, 'fire_exp': 1.1160900215313645, 'P_half': 22.41097161910951, 'pre_dampen_half': 518.2609891091992, 'gpp_af': 0.04130614451133169, 'gpp_b': 0.012964140540905063, 'gpp_d': 32.74121520988881, 'ign_k': 0.02847858516856297, 'ign_c': 771.13129913311, 'trop_agb_crit': 26.402883285404346, 'trop_k_veg': 1.0049538030148353, 'fuel_k': 0.2406753202628103, 'fuel_half': 0.7991621920384354}.
[I 2026-07-22 21:40:58,137] Trial 10 finished with values: [10.022057559501695, 10.022057559501695] and parameters: {'k1': 0.00013783578294796384, 'D_low': 1.6646452049870526, 'k2': 0.0027431991397796683, 'D_high': 10377.055497115112, 'fire_exp': 1.0482996836046896, 'P_half': 13.019246714361572, 'pre_dampen_half': 347.79988160923324, 'gpp_af': 0.015769192447197523, 'gpp_b': 7.402343469704414e-05, 'gpp_d': 2.8006820077310226, 'ign_k': 8.761971101023699, 'ign_c': 0.9294394155644988, 'trop_agb_crit': 9.836162684900028, 'trop_k_veg': 4.130963924640279, 'fuel_k': 0.04572914063536324, 'fuel_half': 15.298506868937444}.
