=== Model H: C + GDP term, CRUJRA climate, 02:51:20 ===
[I 2026-08-06 02:51:34,855] A new study created in memory with name: no-name-f99afc08-7171-4ef4-83f2-49ae8df2fb38
[I 2026-08-06 02:51:36,407] Trial 0 finished with values: [-0.5993129127640533, 0.09850349914394363] and parameters: {'k1': 0.03635503353478365, 'D_low': 70.18267183720735, 'k2': 0.012758211164590085, 'D_high': 2940.51756322311, 'fire_exp': 1.165368636520435, 'P_half': 12.808863354047988, 'pre_dampen_half': 107.40052367919465, 'gpp_af': 0.1476584299248268, 'gpp_b': 0.0005752434266899163, 'gpp_d': 660.9129108295722, 'ign_k': 8.708806168038567, 'ign_c': 20.03995359361212, 'gdp_gamma': 0.001}.
[I 2026-08-06 02:51:37,942] Trial 1 finished with values: [10.765627139254608, 10.765627139254608] and parameters: {'k1': 0.00031489116479568613, 'D_low': 6351.221010640702, 'k2': 0.008471801418819975, 'D_high': 2481.0409748678126, 'fire_exp': 1.4322493718230251, 'P_half': 4.2070539502879365, 'pre_dampen_half': 0.0195172246414495, 'gpp_af': 21.42302175774105, 'gpp_b': 0.040428727350273294, 'gpp_d': 34.70266988650411, 'ign_k': 0.0012087541473056963, 'ign_c': 757.9479953347999, 'gdp_gamma': 0.559652086128564}.
[I 2026-08-06 02:51:39,497] Trial 2 finished with values: [10.768604587551682, 10.768604587551682] and parameters: {'k1': 7.068974950624602e-05, 'D_low': 5.337032762603957, 'k2': 5.415244119402538e-05, 'D_high': 164.80446427978976, 'fire_exp': 3.347776308515933, 'P_half': 53.42937261279775, 'pre_dampen_half': 0.2858549394196191, 'gpp_af': 1.1462107403425035, 'gpp_b': 6.870101665590028e-05, 'gpp_d': 0.2888838362365318, 'ign_k': 0.029204338471814112, 'ign_c': 6.6723671704642005, 'gdp_gamma': 0.39074137500162603}.
[I 2026-08-06 02:51:41,068] Trial 3 finished with values: [10.769229223679343, 10.769229223679343] and parameters: {'k1': 6.290644294586152e-05, 'D_low': 114.00863701127324, 'k2': 0.00234238498471129, 'D_high': 15.339162591163625, 'fire_exp': 4.050837781329674, 'P_half': 4.809461967501573, 'pre_dampen_half': 0.021147447960615712, 'gpp_af': 55.51721685244721, 'gpp_b': 6.220025976819156, 'gpp_d': 110.15056790269621, 'ign_k': 0.01653693718282442, 'ign_c': 0.24586032763280052, 'gdp_gamma': 0.1814152303366678}.
[I 2026-08-06 02:51:42,624] Trial 4 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.00057624872164786, 'D_low': 3.0771802712506853, 'k2': 0.0009565499215943821, 'D_high': 13.726318898045866, 'fire_exp': 8.115595675970502, 'P_half': 10.84226271733016, 'pre_dampen_half': 20.54051942538844, 'gpp_af': 0.03618723330959624, 'gpp_b': 0.013194961490425657, 'gpp_d': 5.414413211338521, 'ign_k': 0.0054880470007660455, 'ign_c': 755.6810141274419, 'gdp_gamma': 0.36202344812619097}.
[I 2026-08-06 02:51:44,176] Trial 5 finished with values: [10.763786845866262, 10.763786845866262] and parameters: {'k1': 0.057279044707996205, 'D_low': 3795.8531426706395, 'k2': 0.002463768595899745, 'D_high': 48696.409415208946, 'fire_exp': 1.2260057359187524, 'P_half': 6.0803901902966, 'pre_dampen_half': 0.016832027985721906, 'gpp_af': 0.04233032996527596, 'gpp_b': 0.002148145718198267, 'gpp_d': 0.22737628102536853, 'ign_k': 2.0651425578959257, 'ign_c': 2.6730883107816683, 'gdp_gamma': 0.008460056107201557}.
[I 2026-08-06 02:51:45,667] Trial 6 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.0014817820606039085, 'D_low': 3.6618192203924282, 'k2': 0.016172900811143146, 'D_high': 19.870215385428626, 'fire_exp': 9.702573394120728, 'P_half': 1227.3800987852965, 'pre_dampen_half': 0.09853225172032558, 'gpp_af': 0.0010656401760606447, 'gpp_b': 0.7812113973534922, 'gpp_d': 34.22052903270693, 'ign_k': 0.8241925264876453, 'ign_c': 121.64139351417049, 'gdp_gamma': 0.0017555920939359142}.
[I 2026-08-06 02:51:47,215] Trial 7 finished with values: [10.768731984973632, 10.768731984973632] and parameters: {'k1': 0.00027155819552829395, 'D_low': 2.907208890659844, 'k2': 0.028340904295147733, 'D_high': 3113.095956122121, 'fire_exp': 2.1423874956449054, 'P_half': 1.7956984225677628, 'pre_dampen_half': 0.3588488911386258, 'gpp_af': 0.042258746449961686, 'gpp_b': 0.2385816677142884, 'gpp_d': 15.409457762881532, 'ign_k': 3.53875886477924, 'ign_c': 7.7421164739962425, 'gdp_gamma': 0.0024818995091234336}.
[I 2026-08-06 02:51:48,667] Trial 8 finished with values: [10.759525488028478, 10.759525488028478] and parameters: {'k1': 0.007128188058401363, 'D_low': 1104.4350847124692, 'k2': 0.0017583640270008513, 'D_high': 12130.221181165161, 'fire_exp': 3.11742200300463, 'P_half': 123.29098365270511, 'pre_dampen_half': 1.373109246824029, 'gpp_af': 0.001339971723117972, 'gpp_b': 4.4396482429275246e-05, 'gpp_d': 0.014359718569878098, 'ign_k': 0.35127047262708466, 'ign_c': 1.8089390092767128, 'gdp_gamma': 0.04773172243051106}.
[I 2026-08-06 02:51:50,171] Trial 9 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.04268407710065494, 'D_low': 9.935023909063686, 'k2': 0.00043805807679056546, 'D_high': 10524.574681335636, 'fire_exp': 1.6935505549297922, 'P_half': 2.0319809838424976, 'pre_dampen_half': 0.2810329644763607, 'gpp_af': 0.006398916399944081, 'gpp_b': 3.7860462420928673, 'gpp_d': 109.79988817809651, 'ign_k': 0.34167643418329696, 'ign_c': 306.0852210672246, 'gdp_gamma': 0.4497235523910825}.
[I 2026-08-06 02:51:51,726] Trial 10 finished with values: [10.769181398443065, 10.769181398443065] and parameters: {'k1': 5.575453980775367e-05, 'D_low': 3717.37174782505, 'k2': 0.0014367095138664223, 'D_high': 16973.07853246701, 'fire_exp': 7.872112644525067, 'P_half': 18.70742013766026, 'pre_dampen_half': 0.03550255612313078, 'gpp_af': 0.01379354235277247, 'gpp_b': 0.003652975266912358, 'gpp_d': 123.04779330083686, 'ign_k': 2.7728241828010627, 'ign_c': 0.1066125968943389, 'gdp_gamma': 0.04852797464024819}.
[I 2026-08-06 02:51:53,183] Trial 11 finished with values: [10.769205731712699, 10.769205731712699] and parameters: {'k1': 0.0004673518999562748, 'D_low': 7.734482156646792, 'k2': 3.0162092627967762e-05, 'D_high': 224.10971619109526, 'fire_exp': 8.76818498976553, 'P_half': 19.625093208439857, 'pre_dampen_half': 3.926025433552808, 'gpp_af': 3.2741215209888828, 'gpp_b': 0.0015197691143574409, 'gpp_d': 722.6207258080483, 'ign_k': 7.076022085822011, 'ign_c': 1.0165510266418727, 'gdp_gamma': 0.04379577674738804}.
[I 2026-08-06 02:51:54,690] Trial 12 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.0001597766235483386, 'D_low': 13.78357829479638, 'k2': 1.4045842344024695e-05, 'D_high': 2743.1991397796696, 'fire_exp': 3.1818450261567794, 'P_half': 1.606626792172771, 'pre_dampen_half': 0.2473046721099913, 'gpp_af': 34.77998816092338, 'gpp_b': 0.0002737608521191864, 'gpp_d': 0.053024228766843526, 'ign_k': 0.09074256288983863, 'ign_c': 876.1971101023682, 'gdp_gamma': 0.0062955215062030214}.
[I 2026-08-06 02:51:56,151] Trial 13 finished with values: [10.757916159947861, 10.757916159947861] and parameters: {'k1': 0.00488137519160367, 'D_low': 1112.9571947046009, 'k2': 8.923807143379776e-05, 'D_high': 8182.111518618414, 'fire_exp': 2.332293128354265, 'P_half': 338.23872019362165, 'pre_dampen_half': 14.711215379121963, 'gpp_af': 0.47739011308437823, 'gpp_b': 3.481277316673104e-05, 'gpp_d': 150.14555442537656, 'ign_k': 0.019192001101561888, 'ign_c': 0.557280750002996, 'gdp_gamma': 0.0013633267789130187}.
[I 2026-08-06 02:51:57,668] Trial 14 finished with values: [10.764009183426142, 10.764009183426142] and parameters: {'k1': 0.002309786149269356, 'D_low': 513.1654955148325, 'k2': 1.1650681118986128e-05, 'D_high': 1117.8209200698727, 'fire_exp': 1.6845960390009305, 'P_half': 380.79493367685603, 'pre_dampen_half': 0.07444441903453075, 'gpp_af': 2.8489753426125652, 'gpp_b': 0.0020912794881839656, 'gpp_d': 482.66959687866415, 'ign_k': 0.003548818403010949, 'ign_c': 2.3134781612225597, 'gdp_gamma': 0.0023690787504551864}.
[I 2026-08-06 02:51:59,145] Trial 15 finished with values: [10.769230640302911, 10.769230640302911] and parameters: {'k1': 0.0499774937030317, 'D_low': 3231.152185441098, 'k2': 0.00010758866306767925, 'D_high': 4364.516946807793, 'fire_exp': 6.56481058995875, 'P_half': 166.26592254031868, 'pre_dampen_half': 4.448902538066168, 'gpp_af': 0.0161905444947165, 'gpp_b': 3.619233530807127e-05, 'gpp_d': 306.25189859246717, 'ign_k': 3.996430167694254, 'ign_c': 34.07264348530189, 'gdp_gamma': 0.013156716288884476}.
[I 2026-08-06 02:52:00,598] Trial 16 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.00024936660834465205, 'D_low': 801.3508750140625, 'k2': 0.0387651117091163, 'D_high': 35346.441441965806, 'fire_exp': 6.023869375703683, 'P_half': 369.93598999597504, 'pre_dampen_half': 0.026345098397336078, 'gpp_af': 0.00642900214221209, 'gpp_b': 2.462210228732003, 'gpp_d': 10.768254179081206, 'ign_k': 0.0010883991813938126, 'ign_c': 0.25461628161276906, 'gdp_gamma': 0.15496700584188616}.
[I 2026-08-06 02:52:02,090] Trial 17 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 1.0477226564098276e-05, 'D_low': 4.397766894483963, 'k2': 0.001566517163094646, 'D_high': 5855.72658879625, 'fire_exp': 4.487053621524983, 'P_half': 7.890004262668578, 'pre_dampen_half': 36.38279896646442, 'gpp_af': 0.015354845024150165, 'gpp_b': 0.000896186069682789, 'gpp_d': 54.00786701286527, 'ign_k': 0.39676339357448603, 'ign_c': 249.39838794891443, 'gdp_gamma': 0.1481835118370438}.
[I 2026-08-06 02:52:03,637] Trial 18 finished with values: [10.768909107324726, 10.768909107324726] and parameters: {'k1': 0.0018760068220300646, 'D_low': 2.3697311169867326, 'k2': 0.0002957080941494348, 'D_high': 115.02956321912725, 'fire_exp': 1.7538386775504864, 'P_half': 7799.059237255678, 'pre_dampen_half': 0.9236099934536365, 'gpp_af': 28.855777187934113, 'gpp_b': 0.0612113215475423, 'gpp_d': 94.20121790275627, 'ign_k': 0.10245858939867322, 'ign_c': 20.305586522289097, 'gdp_gamma': 0.04224892671629059}.
[I 2026-08-06 02:52:05,150] Trial 19 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 6.0390962475457836e-05, 'D_low': 775.9048401667637, 'k2': 0.00013276678836047652, 'D_high': 12.510188850164434, 'fire_exp': 4.420509170923648, 'P_half': 5.110256715654394, 'pre_dampen_half': 503.840323065189, 'gpp_af': 58.83596555133606, 'gpp_b': 3.0845111275338595, 'gpp_d': 0.7092404574999805, 'ign_k': 0.0011529924570330221, 'ign_c': 516.7425813322407, 'gdp_gamma': 0.025908884637579472}.
[I 2026-08-06 02:52:06,612] Trial 20 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.07355619850853308, 'D_low': 7152.863022216531, 'k2': 0.025824850844906145, 'D_high': 150.58980408366406, 'fire_exp': 2.4271562127665014, 'P_half': 2538.3218374507296, 'pre_dampen_half': 0.3842465933116533, 'gpp_af': 0.007038234513942655, 'gpp_b': 0.021918335723906092, 'gpp_d': 479.4837252202705, 'ign_k': 0.6083019192425827, 'ign_c': 19.065345519393503, 'gdp_gamma': 0.002093064061531927}.
[I 2026-08-06 02:52:08,149] Trial 21 finished with values: [10.76923076903347, 10.76923076903347] and parameters: {'k1': 0.002884223471687844, 'D_low': 9124.632886689908, 'k2': 3.633591165393166e-05, 'D_high': 1183.9097834757702, 'fire_exp': 7.540029967004172, 'P_half': 918.4900818511542, 'pre_dampen_half': 30.55474791173449, 'gpp_af': 3.254021513867687, 'gpp_b': 0.0014353139548983517, 'gpp_d': 0.29373738302577235, 'ign_k': 1.7276056747028232, 'ign_c': 173.9616742284698, 'gdp_gamma': 0.7281682389061597}.
[I 2026-08-06 02:52:09,689] Trial 22 finished with values: [10.768689041052493, 10.768689041052493] and parameters: {'k1': 0.04497407193749842, 'D_low': 111.0119152484607, 'k2': 0.0010140635645866497, 'D_high': 15602.015889668875, 'fire_exp': 4.466464955232308, 'P_half': 642.4916813668932, 'pre_dampen_half': 95.2715755007094, 'gpp_af': 28.185562669967442, 'gpp_b': 0.001066524757064704, 'gpp_d': 0.7549440440422736, 'ign_k': 0.002376444955386536, 'ign_c': 20.564614086027916, 'gdp_gamma': 0.0013141547946913911}.
[I 2026-08-06 02:52:11,160] Trial 23 finished with values: [10.44327719063846, 10.44327719063846] and parameters: {'k1': 0.0007284371265166888, 'D_low': 148.10800730363493, 'k2': 0.00014001191914113747, 'D_high': 2308.5168151108014, 'fire_exp': 1.0727542652117925, 'P_half': 1.4105638677535268, 'pre_dampen_half': 129.7187644086357, 'gpp_af': 0.06323437159998231, 'gpp_b': 5.7857954539842234e-05, 'gpp_d': 4.08522800366862, 'ign_k': 1.2021930484915047, 'ign_c': 0.7299348683062306, 'gdp_gamma': 0.1138099269777268}.
[I 2026-08-06 02:52:12,692] Trial 24 finished with values: [10.768279038562806, 10.768279038562806] and parameters: {'k1': 2.1947742689197327e-05, 'D_low': 1.6096330648219372, 'k2': 0.0013348071559960686, 'D_high': 1453.919918756155, 'fire_exp': 4.339402166711992, 'P_half': 802.3527304678844, 'pre_dampen_half': 757.2868182332339, 'gpp_af': 0.38150632410364566, 'gpp_b': 0.0008664406862241783, 'gpp_d': 94.60867797081394, 'ign_k': 0.012115155843077676, 'ign_c': 5.700142105246943, 'gdp_gamma': 0.0018154607675396161}.
