iso3,admin,continent,ba_km2yr,area_km2,burned_frac_pct,ncell,gdp_pcap,pop
SSD,South Sudan,Africa,399474.8390305656,615960.6452073426,64.8539548977347,201,1375.87731816094,9284566.0
GIN,Guinea,Africa,147119.57190437222,234016.4625456999,62.86718904472029,77,693.8261867478343,10675728.45
TGO,Togo,Africa,33280.21132703033,55008.84470523912,60.49974600513775,18,751.6621238769922,6342229.4
CAF,Central African Republic,Africa,351947.3804226117,623159.8319692349,56.477866891777964,203,393.58373991461315,4517980.65
GHA,Ghana,Africa,131733.6577085323,235567.9328296211,55.92172759940595,77,1338.792819164926,25894206.4
SLE,Sierra Leone,Africa,38861.43661327297,73348.76922775131,52.98171601571993,24,717.6939209856172,6329816.4
ZMB,Zambia,Africa,377639.9776104711,747925.5819212915,50.491651407400624,249,1159.2876478976527,14356653.15
BEN,Benin,Africa,54720.741799929994,118834.64188953157,46.0478030057921,39,954.3692863326676,10065530.3
AGO,Angola,Africa,536814.0210427495,1257156.8943940552,42.70063851509097,417,3148.2058752463654,24270702.85
MOZ,Mozambique,Africa,287746.9939438454,788739.9613557658,36.48185815883309,268,505.2969694124373,23844145.75
CIV,Ivory Coast,Africa,112762.27674957711,336865.1603473455,33.47400978875543,110,1584.6152085867757,23032924.3
KHM,Cambodia,Asia,58982.09146915665,189941.06466855618,31.052838190666858,63,1124.237802276233,14641290.7
COD,Democratic Republic of the Congo,Africa,720074.446128162,2354662.557992154,30.58079144648978,765,351.2008466948722,71440845.1
GNB,Guinea-Bissau,Africa,9838.796494835626,33272.07838407854,29.570730091642602,11,601.5214666470343,1607136.5
SEN,Senegal,Africa,57977.37390989807,200640.7241609939,28.89611476051945,67,1193.8134191662566,13109777.15
LAO,Laos,Asia,60595.00121780392,225568.15216632283,26.863278630364515,77,1369.053641770574,6396331.95
GMB,Gambia,Africa,3105.2929229439715,12028.867456240574,25.81533909356484,4,641.052712216426,1975576.85
MDG,Madagascar,Africa,141808.59781748254,582200.483164233,24.35734801296613,200,428.5161959396902,22663320.7
CMR,Cameroon,Africa,109154.03636723064,460900.5437845433,23.68277448122447,150,1345.0684068517467,20260507.6
NGA,Nigeria,Africa,213894.25229855714,913569.361573848,23.413028205113147,300,1969.912023362501,170228040.0
TZA,United Republic of Tanzania,Africa,212632.90211637417,939185.7958038418,22.640131810594873,306,749.3145919799811,46502824.0
MMR,Myanmar,Asia,145446.5662348877,658970.7424622956,22.071779043090025,229,846.5732110244735,49388733.15
BFA,Burkina Faso,Africa,54964.456137109795,262694.93843509466,20.923302315811515,87,596.0142821422545,16623525.1
UGA,Uganda,Africa,52271.88461759221,250237.72142139223,20.888890899692953,81,619.0414928038316,33476629.05
MWI,Malawi,Africa,24320.655866257297,117253.1397712562,20.74200820012441,39,508.7789362970868,15224913.35
THA,Thailand,Asia,75544.61585216492,515312.47046829783,14.65996267924831,173,4752.362017175577,68392554.65
COG,Republic of the Congo,Africa,48402.4481688217,339699.7621356264,14.248596426598862,110,2329.4825979257826,4485636.2
ZWE,Zimbabwe,Africa,53093.96537871595,394418.11859640764,13.461340358211304,135,1154.1388039771705,13565958.5
SWZ,eSwatini,Africa,1827.7497213903393,13813.163338536046,13.231941710927808,5,3216.2501124377095,1115972.65
LBR,Liberia,Africa,11906.030437908492,95208.12142082902,12.5052676811915,31,509.80364539936545,4085047.2
TCD,Chad,Africa,160104.2404796304,1281661.897517996,12.491924804012701,431,894.1494910369031,12721210.3
BDI,Burundi,Africa,3811.12718054377,30855.419340420864,12.351565015197057,10,199.11493081988385,9490524.85
VNM,Vietnam,Asia,38948.284223809205,333385.4507508613,11.682658657145547,113,1797.6074479776137,87817343.1
GTM,Guatemala,North America,13039.687096552196,118912.09470764111,10.965820700250676,40,3044.548064780336,14668655.7
ETH,Ethiopia,Africa,118618.6860308329,1123397.1489188953,10.558927102938258,368,410.3196037686462,92668561.25
MLI,Mali,Africa,128786.55551032968,1251750.9460133887,10.288512736538582,425,751.829177602723,16401160.45
PRY,Paraguay,South America,39382.278085104066,400005.29038263665,9.845439305923131,141,4336.152431537406,5837799.9
HND,Honduras,North America,9499.308676611414,110497.72776940126,8.596836214076374,37,1853.8996498877543,8446388.6
UKR,Ukraine,Europe,42079.83327329711,584181.2803693917,7.203214941548458,289,2664.3218231201186,46610297.15
AUS,Australia,Oceania,547456.0014300427,7718923.581156114,7.092387891577579,2788,47013.503441855064,22253776.5
CUB,Cuba,North America,7841.316424163819,112015.84902815042,7.000184788309052,39,5973.501075522472,11253273.35
SDN,Sudan,Africa,120342.06162648973,1865854.4720475366,6.449702451575964,629,990.6832443237308,36403222.85
SLV,El Salvador,North America,1285.3752711138723,21017.22957534909,6.115816865898809,7,3191.680332167837,6095110.5
BLZ,Belize,North America,1045.0912770521004,17703.010960158117,5.903466248787579,6,5601.253403581325,322207.7
VEN,Venezuela,South America,49891.958125484845,894907.6276966475,5.575095862563933,292,6562.977252179936,28380708.95
NIC,Nicaragua,North America,7114.273717657037,135596.3774417636,5.246654705589388,45,1603.229198477651,5793422.45
NPL,Nepal,Asia,7839.335805319453,149752.57677847435,5.234858707584049,55,654.2935574672174,27133099.65
