path,sha256,bytes,parameter_count,declared_model
model/parameters/abc-gfed4.1s/A.json,ed6c9218c12af0a79c30a3d5fc677eb6111b6873bb68704dbe9d17908f468bf1,1257,27,Model A v8 — v7 + LAI fuel
model/parameters/abc-gfed4.1s/B.json,23c5a733c80273a3bd0ba579124cb0777f9e06649698a0690f73f58f1dc71050,1058,17,Model B (Shapley-reduced from v8)
model/parameters/abc-gfed4.1s/C.json,ac89555bc378ecd1ae96e469d1be785f515464713ce771c2a2379a0ca18ac6ca,852,12,Model C (Shapley-reduced from v8)
model/parameters/coupled-gfed5/gdp_regional_gamma.json,ecd30a98d8eb2b792b67a7b25c5c41a9bd260bc080a6168d942003d5597c81a1,345,,
model/parameters/coupled-gfed5/params.G_Africa.json,96b78b946c6ba441444ff75836bcfe6b6ba7d1ce6a7032acd1f16c2a1b98a725,1554,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_Africa.k1.json,faebb2c7a63ba6f7498d05a3ef42d1bc04b91efc4d3acc357ce4d94d0781f2a0,1670,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_Africa.k2.json,b6862977e6e5de65eee27e089ba140991a7a49c1d5b81a0cebab23086f0d3520,1672,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_Africa.k3.json,0423915a9e6a23b83ba9ad3a84be67bc39722ec56ee894e9ebba6d62e2a04855,1677,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_Africa.k4.json,229d3597c58a3062a6119f8c24503b84f3abd6bfd1f58c41fb0dc460aabaa458,1677,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_Africa.k5.json,9b66ba1be298c67f971f4e4db0862e053447e481f1002ba5658f1c4a51abaf75,1676,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.G_Australia.json,e46b1f5c5918b7903867eae4a0c62d79a702685594bbf9bc77e6afebdebf0d4b,1558,12,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
