protocol,model_id,bias_score,rmse_score,seasonal_cycle_score,spatial_distribution_score,overall_score,mha_per_year,reported_overall_score,delta_from_reported_overall,verification
abc_gfed4_1s,A-legacy,0.711123,0.490945,0.800552,0.766962,0.652105,467.3332241045272,0.6574,-0.005294999999999939,pass
abc_gfed4_1s,B-legacy,0.706665,0.477999,0.833706,0.757963,0.650866,467.33305868060506,0.6506,0.00026599999999998847,pass
abc_gfed4_1s,C-legacy,0.718782,0.512102,0.839311,0.776872,0.671834,467.33288879505886,0.6733,-0.0014659999999999673,pass
coupled_gfed5,C,0.697665,0.475449,0.824616,0.769089,0.648453,1000.9839093882852,0.6485,-4.700000000001925e-05,pass
coupled_gfed5,D,0.695095,0.466179,0.791369,0.786354,0.641035,1218.6985378992072,0.6411,-6.499999999998174e-05,pass
coupled_gfed5,E,0.751445,0.475271,0.745543,0.875564,0.664619,815.6061682925749,0.6646,1.8999999999991246e-05,pass
coupled_gfed5,F,0.753049,0.511981,0.774486,0.840026,0.678305,785.2271510026923,0.6783,5.000000000032756e-06,pass
coupled_gfed5,G,0.742971,0.488513,0.84192,0.847104,0.681804,1002.4236815837852,0.6818,4.000000000004e-06,pass
coupled_gfed5,G6,0.747339,0.491287,0.843674,0.85032,0.684781,943.212909035685,0.6848,-1.8999999999991246e-05,pass
coupled_gfed5,G7,0.748123,0.493611,0.845441,0.85022,0.686201,945.8416774551703,0.6862,9.999999999177334e-07,pass
coupled_gfed5,H,0.72584,0.520087,0.835265,0.808126,0.681881,829.5707673060725,0.6819,-1.8999999999991246e-05,pass
coupled_gfed5,I,0.755177,0.479849,0.820001,0.847834,0.676542,794.2837601193605,0.6765,4.199999999998649e-05,pass
coupled_gfed5,Ibest,0.756125,0.479257,0.821985,0.846391,0.676603,805.8137948903952,0.6766,2.9999999999752447e-06,pass
