"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.32711","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0282767","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Period Mean (original grids)","MeanState","global","scalar","%","0.106925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Model Period Mean (intersection)","MeanState","global","scalar","%","0.118507","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Model Period Mean (complement)","MeanState","global","scalar","%","0.0213233","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Spatial Distribution Score","MeanState","global","score","1","0.290408","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Phase Shift","MeanState","global","scalar","months","3.2245","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Seasonal Cycle Score","MeanState","global","score","1","0.43859","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Bias","MeanState","global","scalar","%","-0.208603","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Bias Score","MeanState","global","score","1","0.68067","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","RMSE","MeanState","global","scalar","%","0.643489","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","RMSE Score","MeanState","global","score","1","0.488924","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","Candidate","Overall Score","MeanState","global","score","1","0.477503","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.32711","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0282767","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Period Mean (original grids)","MeanState","global","scalar","%","0.106925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Model Period Mean (intersection)","MeanState","global","scalar","%","0.118507","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Model Period Mean (complement)","MeanState","global","scalar","%","0.0213233","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Spatial Distribution Score","MeanState","global","score","1","0.290408","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Phase Shift","MeanState","global","scalar","months","3.2245","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Seasonal Cycle Score","MeanState","global","score","1","0.43859","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Bias","MeanState","global","scalar","%","-0.208603","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Bias Score","MeanState","global","score","1","0.68067","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","RMSE","MeanState","global","scalar","%","0.643489","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","RMSE Score","MeanState","global","score","1","0.488924","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-stock","Overall Score","MeanState","global","score","1","0.477503","80.0"
