"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.487444","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.00106597","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Period Mean (original grids)","MeanState","global","scalar","%","0.106925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Model Period Mean (intersection)","MeanState","global","scalar","%","0.106925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Model Period Mean (complement)","MeanState","global","scalar","%","nan","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Spatial Distribution Score","MeanState","global","score","1","0.16578","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Phase Shift","MeanState","global","scalar","months","2.78413","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Seasonal Cycle Score","MeanState","global","score","1","0.467363","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Bias","MeanState","global","scalar","%","-0.380519","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Bias Score","MeanState","global","score","1","0.621668","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","RMSE","MeanState","global","scalar","%","0.869637","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","RMSE Score","MeanState","global","score","1","0.466119","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","ED-stock","Overall Score","MeanState","global","score","1","0.43741","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.487444","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.00106597","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Period Mean (original grids)","MeanState","global","scalar","%","0.106925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Model Period Mean (intersection)","MeanState","global","scalar","%","0.106925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Model Period Mean (complement)","MeanState","global","scalar","%","nan","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Spatial Distribution Score","MeanState","global","score","1","0.16578","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Phase Shift","MeanState","global","scalar","months","2.78413","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Seasonal Cycle Score","MeanState","global","score","1","0.467363","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Bias","MeanState","global","scalar","%","-0.380519","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Bias Score","MeanState","global","score","1","0.621668","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","RMSE","MeanState","global","scalar","%","0.869637","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","RMSE Score","MeanState","global","score","1","0.466119","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED5","Candidate","Overall Score","MeanState","global","score","1","0.43741","80.0"
